,Rank,Date
BOS,11,Apr-30-22
ANA,27,Apr-30-22
ARI,31,Apr-30-22
BUF,22,Apr-30-22
CAR,9,Apr-30-22
CHI,29,Apr-30-22
CGY,5,Apr-30-22
DAL,15,Apr-30-22
COL,2,Apr-30-22
EDM,10,Apr-30-22
NJD,28,Apr-30-22
NYI,20,Apr-30-22
CBJ,21,Apr-30-22
NYR,8,Apr-30-22
FLA,1,Apr-30-22
MIN,6,Apr-30-22
LAK,12,Apr-30-22
OTT,24,Apr-30-22
DET,0,Apr-30-22
MTL,0,Apr-30-22
PHI,32,Apr-30-22
NSH,16,Apr-30-22
PIT,14,Apr-30-22
SJS,25,Apr-30-22
STL,7,Apr-30-22
TBL,4,Apr-30-22
SEA,26,Apr-30-22
WPG,19,Apr-30-22
VAN,17,Apr-30-22
VGK,18,Apr-30-22
WSH,13,Apr-30-22
TOR,3,Apr-30-22
