,Rank,Date
BOS,10,Dec-11-21
ANA,11,Dec-11-21
ARI,31,Dec-11-21
BUF,28,Dec-11-21
CAR,7,Dec-11-21
CHI,25,Dec-11-21
CGY,12,Dec-11-21
DAL,18,Dec-11-21
COL,8,Dec-11-21
EDM,15,Dec-11-21
NJD,24,Dec-11-21
NYI,29,Dec-11-21
CBJ,19,Dec-11-21
NYR,4,Dec-11-21
FLA,6,Dec-11-21
MIN,1,Dec-11-21
LAK,22,Dec-11-21
OTT,27,Dec-11-21
DET,21,Dec-11-21
MTL,32,Dec-11-21
PHI,30,Dec-11-21
NSH,16,Dec-11-21
PIT,14,Dec-11-21
SJS,20,Dec-11-21
STL,9,Dec-11-21
TBL,2,Dec-11-21
SEA,23,Dec-11-21
WPG,17,Dec-11-21
VAN,26,Dec-11-21
VGK,13,Dec-11-21
WSH,5,Dec-11-21
TOR,3,Dec-11-21
