,Rank,Date
BOS,12,Feb-26-22
ANA,21,Feb-26-22
ARI,29,Feb-26-22
BUF,31,Feb-26-22
CAR,2,Feb-26-22
CHI,26,Feb-26-22
CGY,5,Feb-26-22
DAL,16,Feb-26-22
COL,1,Feb-26-22
EDM,11,Feb-26-22
NJD,28,Feb-26-22
NYI,25,Feb-26-22
CBJ,18,Feb-26-22
NYR,6,Feb-26-22
FLA,4,Feb-26-22
MIN,13,Feb-26-22
LAK,9,Feb-26-22
OTT,23,Feb-26-22
DET,22,Feb-26-22
MTL,27,Feb-26-22
PHI,32,Feb-26-22
NSH,15,Feb-26-22
PIT,10,Feb-26-22
SJS,24,Feb-26-22
STL,7,Feb-26-22
TBL,3,Feb-26-22
SEA,30,Feb-26-22
WPG,20,Feb-26-22
VAN,17,Feb-26-22
VGK,14,Feb-26-22
WSH,19,Feb-26-22
TOR,8,Feb-26-22
