,Rank,Date
BOS,11,Jan-22-22
ANA,17,Jan-22-22
ARI,27,Jan-22-22
BUF,29,Jan-22-22
CAR,2,Jan-22-22
CHI,25,Jan-22-22
CGY,15,Jan-22-22
DAL,18,Jan-22-22
COL,1,Jan-22-22
EDM,22,Jan-22-22
NJD,26,Jan-22-22
NYI,23,Jan-22-22
CBJ,24,Jan-22-22
NYR,8,Jan-22-22
FLA,6,Jan-22-22
MIN,7,Jan-22-22
LAK,14,Jan-22-22
OTT,28,Jan-22-22
DET,21,Jan-22-22
MTL,30,Jan-22-22
PHI,32,Jan-22-22
NSH,10,Jan-22-22
PIT,3,Jan-22-22
SJS,20,Jan-22-22
STL,4,Jan-22-22
TBL,5,Jan-22-22
SEA,31,Jan-22-22
WPG,16,Jan-22-22
VAN,19,Jan-22-22
VGK,12,Jan-22-22
WSH,13,Jan-22-22
TOR,9,Jan-22-22
