,Rank,Date
BOS,8,Mar-05-22
ANA,21,Mar-05-22
ARI,28,Mar-05-22
BUF,27,Mar-05-22
CAR,5,Mar-05-22
CHI,29,Mar-05-22
CGY,4,Mar-05-22
DAL,12,Mar-05-22
COL,2,Mar-05-22
EDM,16,Mar-05-22
NJD,30,Mar-05-22
NYI,24,Mar-05-22
CBJ,15,Mar-05-22
NYR,6,Mar-05-22
FLA,1,Mar-05-22
MIN,19,Mar-05-22
LAK,10,Mar-05-22
OTT,25,Mar-05-22
DET,22,Mar-05-22
MTL,23,Mar-05-22
PHI,31,Mar-05-22
NSH,17,Mar-05-22
PIT,7,Mar-05-22
SJS,26,Mar-05-22
STL,9,Mar-05-22
TBL,3,Mar-05-22
SEA,32,Mar-05-22
WPG,20,Mar-05-22
VAN,14,Mar-05-22
VGK,13,Mar-05-22
WSH,18,Mar-05-22
TOR,11,Mar-05-22
