,Rank,Date
BOS,11,Nov-20-21
ANA,14,Nov-20-21
ARI,31,Nov-20-21
BUF,27,Nov-20-21
CAR,1,Nov-20-21
CHI,26,Nov-20-21
CGY,9,Nov-20-21
DAL,24,Nov-20-21
COL,15,Nov-20-21
EDM,3,Nov-20-21
NJD,19,Nov-20-21
NYI,21,Nov-20-21
CBJ,18,Nov-20-21
NYR,12,Nov-20-21
FLA,2,Nov-20-21
MIN,8,Nov-20-21
LAK,17,Nov-20-21
OTT,28,Nov-20-21
DET,25,Nov-20-21
MTL,30,Nov-20-21
PHI,10,Nov-20-21
NSH,22,Nov-20-21
PIT,23,Nov-20-21
SJS,20,Nov-20-21
STL,16,Nov-20-21
TBL,5,Nov-20-21
SEA,32,Nov-20-21
WPG,7,Nov-20-21
VAN,29,Nov-20-21
VGK,13,Nov-20-21
WSH,4,Nov-20-21
TOR,6,Nov-20-21
