,Rank,Date
BOS,9,Oct-23-21
ANA,26,Oct-23-21
ARI,32,Oct-23-21
BUF,24,Oct-23-21
CAR,3,Oct-23-21
CHI,31,Oct-23-21
CGY,17,Oct-23-21
DAL,12,Oct-23-21
COL,10,Oct-23-21
EDM,2,Oct-23-21
NJD,21,Oct-23-21
NYI,14,Oct-23-21
CBJ,25,Oct-23-21
NYR,8,Oct-23-21
FLA,1,Oct-23-21
MIN,5,Oct-23-21
LAK,28,Oct-23-21
OTT,20,Oct-23-21
DET,23,Oct-23-21
MTL,30,Oct-23-21
PHI,16,Oct-23-21
NSH,27,Oct-23-21
PIT,13,Oct-23-21
SJS,11,Oct-23-21
STL,4,Oct-23-21
TBL,7,Oct-23-21
SEA,29,Oct-23-21
WPG,18,Oct-23-21
VAN,22,Oct-23-21
VGK,19,Oct-23-21
WSH,6,Oct-23-21
TOR,15,Oct-23-21
